Rank,Title,Username,Rating,Score,Performance,Team,Sheet
794,,DungeoNMasteR_L,2209,2,1939,,
795,,N1c01as,1750,2,1928,,
796,,Fkot12,1881,2,1920,,
797,,KingsguardKnight,1886,2,1917,,
798,,franz042110,1663,2,1893,,
799,,hasinta,1575,2,1891,,
800,,CrazyMonsterBoss,1382,2,1873,,
801,,m0younes,1485,2,1859,,
802,,tramila,1731,2,1858,,
803,,Refreshcatur,1744,2,1858,,
804,,Murthye4,1715,2,1857,,
805,,matomash,1783,2,1855,,
806,,serdarharun,1773,2,1849,,
807,,Galina74,1723,2,1849,,
808,,Littlesnowii,1355,2,1843,,
809,,WormBoy,1890,2,1838,,
810,,nashcarlls,2053,2,1836,,
811,,holvachi,1843,2,1833,,
812,,Bert-W,1733,2,1833,,
813,,Acip,1980,2,1832,,
814,,b2das,1609,2,1831,,
815,,lepidoptetra,1643,2,1822,,
816,,KuendoGambit,1579,2,1821,,
817,,Getting_Better_23,1972,2,1814,,
818,,SIDDHANT1503,1794,2,1811,,
819,,bravoEdo,1763,2,1810,,
820,,Agus_Yasmin,1865,2,1810,,
821,,Gerry019,1955,2,1807,,
822,,Mohamadsaleh114,1709,2,1806,,
823,,ozkanyolal,1537,2,1804,,
824,,junblitz,2020,2,1798,,
825,,danireo,1871,2,1797,,
826,,david542517,1804,2,1788,,
827,,manasa_reddy,1009,2,1788,,
828,,Gorunuch,1836,2,1787,,
829,,ALEXDMITROV,1995,2,1785,,
830,,fosforos,1842,2,1783,,
831,,Donpobosky,1732,2,1780,,
832,,valdemar123,1607,2,1775,,
833,,poypolpak,1545,2,1774,,
834,,olomoucak,2293,2,1764,,
835,,RuporGrint,1754,2,1755,,
836,,alionen,1600,2,1750,,
837,,barrimor,1715,2,1749,,
838,,KayraOztrk,1601,2,1748,,
839,,Kshire,1914,2,1745,,
840,,claudy399,1577,2,1743,,
841,,mfdonline2460362,1814,2,1741,,
842,,satya1997,1713,2,1735,,
843,,Akpujn,1683,2,1727,,
844,,Ugor1977,1571,2,1718,,
845,,Varnaregion,1799,2,1713,,
846,,cakrawala,1315,2,1710,,
847,,SamiulEhsanShafin,1510,2,1709,,
848,,cilensio,1721,2,1708,,
849,,Versero74,2199,2,1700,,
850,,MamyHasinony,1311,2,1699,,
851,,Hugsaff,1708,2,1697,,
852,,kw3b,1389,2,1689,,
853,,NovoselovN,1649,2,1684,,
854,,David27-1970,1750,2,1684,,
855,,mmuel02,1787,2,1683,,
856,,Iv3973788,1732,2,1680,,
857,,Grisha_113,1286,2,1678,,
858,,tuniu51,1824,2,1677,,
859,,Pocoron4275,1629,2,1677,,
860,,UriiKh,1540,2,1676,,
861,,Ayni14,1927,2,1675,,
862,,nik_71,1968,2,1675,,
863,,amrutmishra,1621,2,1672,,
864,,Uleman,1789,2,1672,,
865,,Coco158,1799,2,1666,,
866,,Hosna13931393,1544,2,1666,,
867,,BureauVeritas,1680,2,1665,,
868,,luksor6,1826,2,1661,,
869,,Edebu1984,1672,2,1659,,
870,,Shohrux_Begimov,1660,2,1655,,
871,,Asyrmuhammet_2011,1751,2,1649,,
872,,MagnusKasparov12,1859,2,1649,,
873,,mencikfaruk1,1516,2,1644,,
874,,cumulus200,1387,2,1643,,
875,,Alena03,1778,2,1640,,
876,,victorolosaurus,1634,2,1638,,
877,,knightvikky,1559,2,1637,,
878,,SirStreuer,1486,2,1631,,
879,,lecess,1440,2,1627,,
880,,Jay003,1307,2,1626,,
881,,Stilbruch,1582,2,1626,,
882,,Arapkios,1724,2,1624,,
883,,Zilez,1735,2,1622,,
884,,Kchessman2015,1687,2,1615,,
885,,Skyleft,1509,2,1605,,
886,,Ramin71,1288,2,1600,,
887,,kingOJ,1541,2,1589,,
888,,hikarou2011,1594,2,1588,,
889,,kagiso,1551,2,1582,,
890,,Rob19891989,1605,2,1577,,
891,,Toussenel,1612,2,1572,,
892,,z_vasiliy,1486,2,1565,,
893,,shakbanov-abd,1504,2,1565,,
894,,Lyfun,1318,2,1560,,
895,,Jotake,1914,2,1559,,
896,,littleealf,1386,2,1558,,
897,,AFHNJDSQ,1819,2,1556,,
898,,pranaygud,1553,2,1553,,
899,,Iv-Iv-Iv,1758,2,1548,,
900,,Ijahan,1765,2,1546,,
901,,dorkomplet,1910,2,1537,,
902,,ndog-72,1705,2,1533,,
903,,Oigor-04,1611,2,1525,,
904,,victor51,1907,2,1524,,
905,,tomasitioteba,1772,2,1517,,
906,,Sanu_679,1387,2,1517,,
907,,seyhansenocak,1755,2,1515,,
908,,MPP5,1534,2,1510,,
909,,Mr_dwi,2032,2,1507,,
910,,sanskar9797,1649,2,1504,,
911,,kipliboy,1775,2,1501,,
912,,Abhi2496,1483,2,1498,,
913,,check_mate0766,1534,2,1495,,
914,,Otto60,1987,2,1494,,
915,,tvo29,1217,2,1492,,
916,,limitlesspawn,1425,2,1490,,
917,,sankalpsharmaa,1309,2,1490,,
918,,ali_6846,1775,2,1488,,
919,,Tribhushan,1465,2,1487,,
920,,zvf1947,1763,2,1487,,
921,,Ge_neral_33,1696,2,1482,,
922,,JAGX70,1469,2,1474,,
923,,maksim13rus,1356,2,1474,,
924,,aks_mall08,1198,2,1466,,
925,,BachTalibe,1525,2,1465,,
926,,Thabiso_Mamba,1119,2,1455,,
927,,neil00000,1430,2,1450,,
928,,sergo1604,1660,2,1447,,
929,,esspion,1618,2,1442,,
930,,sun_ray_king,1773,2,1442,,
931,,Legioner-9,1797,2,1441,,
932,,chisirike1,1521,2,1440,,
933,,Odongrobert,1550,2,1438,,
934,,neel_patwardhan,1556,2,1430,,
935,,ruchilsboss,1355,2,1429,,
936,,Raxker,1574,2,1419,,
937,,Tatarov79,1672,2,1416,,
938,,munim1,1419,2,1415,,
939,,Alanya_8277,1650,2,1413,,
940,,GrozniyBuryat,1376,2,1410,,
941,,Frrr13,1571,2,1401,,
942,,marwazy,1791,2,1401,,
943,,donnyerikson,1633,2,1400,,
944,,NahrisWhelington,1476,2,1400,,
945,,EnzoTorresRivas,1698,2,1395,,
946,,Naelahmad,1087,2,1392,,
947,,Dim999777,1830,2,1385,,
948,,Starliker5,950,2,1378,,
949,,myeyeswereclosed,1506,2,1375,,
950,,BestQty12,1576,2,1373,,
951,,Alex1604Alex,1085,2,1372,,
952,,abdulrahmanluai,1503,2,1370,,
953,,djadjew,1812,2,1370,,
954,,powuz,1504,2,1363,,
955,,Mohamedelzatary1234,1546,2,1360,,
956,,dada055,1474,2,1349,,
957,,Jasper_jaraya,1828,2,1347,,
958,,Bablulu,1404,2,1343,,
959,,Diyansu,1735,2,1342,,
960,,Santhoshraras,1620,2,1332,,
961,,Noel_mwandoe,1638,2,1325,,
962,,PeterLerntSchach,1131,2,1325,,
963,,Aman2805,1627,2,1320,,
964,,AhmedMtaw3,1460,2,1320,,
965,,ProngsTheMarauderz,1454,2,1320,,
966,,Mkyadav,1626,2,1312,,
967,,Boris_Britney,1457,2,1310,,
968,,Askar_Baimuratov,1127,2,1305,,
969,,whatt189,1261,2,1298,,
970,,snoo32,1175,2,1298,,
971,,edinadali,1160,2,1296,,
972,,MKPL,1502,2,1283,,
973,,Giumeza,1384,2,1279,,
974,,Muralidharan777,1023,2,1279,,
975,,justtyyyyy,1206,2,1279,,
976,,Holovaaa,1286,2,1278,,
977,,StonedWalldefence,1753,2,1270,,
978,,Vasya3010,1521,2,1257,,
979,,Ganeshbunde,1604,2,1255,,
980,,alexsandr7,2206,2,1254,,
981,,IvanT-79,1434,2,1252,,
982,,AMocha,1238,2,1242,,
983,,Eeshan0111,1175,2,1238,,
984,,rueanatole,1179,2,1233,,
985,,ismael70,1491,2,1228,,
986,,Veer26,1277,2,1202,,
987,,DenisKov101,1569,2,1202,,
988,,ThakurRajesh,1664,2,1184,,
989,,KirillKitlin,1556,2,1172,,
990,,manawanui,1423,2,1158,,
991,,HoroshevSlava,1436,2,1152,,
992,,assis123,992,2,1054,,
993,,raycharles9,811,2,1049,,
994,,van_hohenheimXP,1198,2,1002,,
995,,Alex_moscow1234,1329,2,932,,
996,,Bahreyni,1985,1,2003,,
997,,KovalyovArtyom,1963,1,1931,,
998,,SBA59,1936,1,1919,,
999,,Awal_pohan,1896,1,1905,,
1000,,Aleksey1205,1892,1,1871,,
1001,,Simonsoda,1288,1,1799,,
1002,,zlarkisz,2504,1,1787,,
1003,,Artako,1914,1,1763,,
1004,,ResearchMath,1263,1,1729,,
1005,,Abang_raizal,1882,1,1711,,
1006,,Gonmont,1899,1,1649,,
1007,,alexche99,1908,1,1647,,
1008,,mobinett,1726,1,1606,,
1009,,ThurmanMermann,1574,1,1547,,
1010,,pratik_h,1814,1,1546,,
1011,,Assasinatorzzz,1636,1,1480,,
1012,,iprass,1427,1,1459,,
1013,,ChikaWarren,1533,1,1449,,
1014,,padd211,1978,1,1392,,
1015,,FERCHOSA,1727,1,1374,,
1016,,Kim_Ndiema,1711,1,1321,,
1017,,Katkat23,1195,1,1301,,
1018,,elkurrako,1794,1,1279,,
1019,,MaDARA_UCHIHA6,1343,1,1279,,
1020,,Asad771,1659,1,1242,,
1021,,pimousse13,1683,1,1232,,
1022,,yusafza007,877,1,940,,
1023,,schah555,1023,1,876,,
1024,,vladimir2709,2333,0,,,
1025,,Rodion2203,2274,0,,,
1026,,Anadalous,2148,0,,,
1027,,siknao99,2124,0,,,
1028,,Imperium_DPR,2098,0,,,
1029,,abdo1122,2074,0,,,
1030,,add22-10-2019,2073,0,,,
1031,,Motobecane,2027,0,,,
1032,,PowerPuffHamdi,2010,0,,,
1033,,Dabur,1986,0,,,
1034,,igorvlad1963,1969,0,,,
1035,,Chandler254,1753,0,1961,,
1036,,valeraua,1948,0,,,
1037,,ghanbaridayan,1944,0,,,
1038,,AbdulMalek-Al-ahmar,1933,0,,,
1039,,UelrjdFylhtq1,1926,0,,,
1040,,michkasz2020,1917,0,,,
1041,,appolo_paris67,1882,0,,,
1042,,Geras125,1867,0,,,
1043,,Olympus4,1859,0,,,
1044,,CikathanChess,1829,0,,,
1045,,Bishop_70,1827,0,,,
1046,,prakhar96,1810,0,,,
1047,,vaheg,1809,0,,,
1048,,vicovaro25,1796,0,,,
1049,,abdoelmoge,1779,0,,,
1050,,Jafary1962,1774,0,,,
1051,,Redhaneuf111,1774,0,,,
1052,,Diagen1,1756,0,,,
1053,,Robotniik2,1746,0,,,
1054,,Roni_efendi,1746,0,,,
1055,,mohamadketabi1364,1741,0,,,
1056,,Ehsan-777,1874,0,1722,,
1057,,lucxs,1720,0,,,
1058,,mufqimardika,1989,0,1717,,
1059,,Blitzek2800,1717,0,,,
1060,,akashsase,1711,0,1709,,
1061,,LuckiLuci,676,0,1706,,
1062,,jOeDiRt,2375,0,1695,,
1063,,alpha1234,1687,0,,,
1064,,Shivam_bundi,1683,0,,,
1065,,shinefly,2222,0,1678,,
1066,,serbishen,1675,0,,,
1067,,uueee,1665,0,,,
1068,,JONATAN48,2111,0,1660,,
1069,,Aliaksandr_K,1769,0,1655,,
1070,,Pro_Master20,1652,0,,,
1071,,karo_ir,2164,0,1646,,
1072,,salyam,2168,0,1641,,
1073,,Melih_erylmz05,1300,0,1640,,
1074,,meldysen,2063,0,1636,,
1075,,AHMEDBMW,1631,0,,,
1076,,ssohrab0036,1629,0,,,
1077,,Accolade0,2075,0,1629,,
1078,,kakay_ancay,1620,0,,,
1079,,VA1KUS,1615,0,,,
1080,,ghasemA2572,1603,0,,,
1081,,pareeek,1590,0,,,
1082,,Dkruks,1568,0,,,
1083,,Mate_matic,1565,0,,,
1084,,Christo2014,1630,0,1564,,
1085,,AlexPro2002,1564,0,,,
1086,,JonathanTrajano5,2067,0,1563,,
1087,,vsplesk,2085,0,1561,,
1088,,SteamXpress,1559,0,,,
1089,,kosyu,1728,0,1553,,
1090,,Caspercito,1545,0,,,
1091,,Vasilev_Aleksandr,1638,0,1544,,
1092,,Ogmhuseyintutu01,2039,0,1536,,
1093,,Kingspawn70,1535,0,,,
1094,,amosrivera,2009,0,1534,,
1095,,Furlan-Furlan,1925,0,1532,,
1096,,endar28,1798,0,1526,,
1097,,jc331,1514,0,,,
1098,,kingishaq1748,2004,0,1509,,
1099,,Meepsz,1733,0,1506,,
1100,,knightfightsall,1907,0,1505,,
1101,,ignatiushorreili,2275,0,1503,,
1102,,onkelgustav,1937,0,1494,,
1103,,aksdeo5,1493,0,,,
1104,,B1and3r,1889,0,1485,,
1105,,KrugkyakovStanislav,1962,0,1484,,
1106,,Mansur08,1978,0,1483,,
1107,,shainur,1481,0,,,
1108,,ramitalat,1977,0,1478,,
1109,,Jordysac,2077,0,1473,,
1110,,Geroy33256,1356,0,1469,,
1111,,Uzeni_Tapera,1981,0,1468,,
1112,,Naruto_119,1950,0,1463,,
1113,,Hermann1414,1913,0,1460,,
1114,,muhsheglil,1901,0,1454,,
1115,,antetokounmpo_34,2035,0,1446,,
1116,,dreameparadise,1306,0,1444,,
1117,,asfatih,1640,0,1439,,
1118,,ho-s-gorjiii,1906,0,1432,,
1119,,gonzalesplays_14,1424,0,,,
1120,,daviddevisser10,1982,0,1424,,
1121,,mskoltsov,1860,0,1423,,
1122,,amangnunu,1902,0,1421,,
1123,,rokada2,1818,0,1420,,
1124,,kprffff,1861,0,1414,,
1125,,KEswaran123,1739,0,1407,,
1126,,vzzz,1862,0,1407,,
1127,,Albert1986,1489,0,1405,,
1128,,MrCrazyCucumber,2166,0,1403,,
1129,,novichok74,1783,0,1402,,
1130,,Maxicapablanca,1884,0,1401,,
1131,,hdb211-0018-2020,1400,0,,,
1132,,kapsmehra,1885,0,1397,,
1133,,Kim_Nikolay,1396,0,,,
1134,,Nhim1992,1852,0,1391,,
1135,,aposim18,2061,0,1387,,
1136,,Zakhrulloev,1887,0,1385,,
1137,,Play_with_Knight,1774,0,1383,,
1138,,Valide_Gondiker31,1381,0,,,
1139,,Daniel0077,1655,0,1381,,
1140,,kurmet93,1789,0,1373,,
1141,,RezaDwiH,2028,0,1368,,
1142,,clemtheia,1412,0,1367,,
1143,,jestrada5,1876,0,1366,,
1144,,gorans1999,1504,0,1365,,
1145,,Lame_Horse,1499,0,1362,,
1146,,ChessNandi,1701,0,1362,,
1147,,GAMBITPLAYEr22,1359,0,,,
1148,,jellepepermans,1822,0,1359,,
1149,,vix_01,1825,0,1358,,
1150,,ssAshokss,1499,0,1357,,
1151,,Vitaliy_Slovyansk,1444,0,1356,,
1152,,Danni24,1349,0,,,
1153,,felix-baumgartner,1814,0,1349,,
1154,,thobile,1806,0,1348,,
1155,,DrHuio,2124,0,1342,,
1156,,Abdosaed22,1785,0,1341,,
1157,,denaris,1781,0,1339,,
1158,,Mfhanaman,1448,0,1338,,
1159,,Manurung,1751,0,1336,,
1160,,Harris2020,1392,0,1332,,
1161,,joseph93,1401,0,1331,,
1162,,chizp1,1507,0,1330,,
1163,,Molech1,1334,0,1322,,
1164,,hozawi,1778,0,1322,,
1165,,PhantomxA,1579,0,1321,,
1166,,toowoomba,1792,0,1319,,
1167,,pravindrarao,1500,0,1317,,
1168,,Serafimi123,1593,0,1312,,
1169,,hamid-gon,1606,0,1308,,
1170,,shocky18,1818,0,1307,,
1171,,TechBillionaire,1815,0,1300,,
1172,,nagaprasadCH,1576,0,1298,,
1173,,adikk,1013,0,1297,,
1174,,Ulayna2020,1377,0,1297,,
1175,,TM1105,1734,0,1297,,
1176,,marcosmedina347,1850,0,1296,,
1177,,cims,2038,0,1289,,
1178,,Iamkusbisandbacon,1643,0,1286,,
1179,,Wampys,1912,0,1284,,
1180,,Dzudzu,1787,0,1281,,
1181,,Oldrich_Duras,1850,0,1281,,
1182,,sanchir0925,1782,0,1280,,
1183,,TituMama0,1943,0,1279,,
1184,,Govinda3344,1668,0,1278,,
1185,,Tucsonhacker,1759,0,1274,,
1186,,Hasahatan_Pandjaitan,1641,0,1271,,
1187,,LaZxDaddy,1755,0,1270,,
1188,,AndreyBryzgalov1974,1750,0,1265,,
1189,,EgorovEgor-2014,1263,0,,,
1190,,Rompeportones,1756,0,1254,,
1191,,bodrex-1,1807,0,1253,,
1192,,api_sw,1675,0,1251,,
1193,,levski27,1759,0,1251,,
1194,,PsychoChicken,1796,0,1250,,
1195,,born2win2012,1249,0,,,
1196,,purohit1,1639,0,1249,,
1197,,rengucarlsen,1715,0,1248,,
1198,,Krekno,1288,0,1246,,
1199,,HumoyunBeast2006,1809,0,1245,,
1200,,Dmitryii,1769,0,1244,,
1201,,murugun11,1730,0,1243,,
1202,,letusLearn,1646,0,1242,,
1203,,Involuntary,1284,0,1242,,
1204,,jolupe78,1710,0,1241,,
1205,,Fishtaco77,1880,0,1238,,
1206,,AngeloFalcon,1238,0,,,
1207,,Evgeniy-MSK,1591,0,1238,,
1208,,sassa,1750,0,1237,,
1209,,abo_taleen,1774,0,1236,,
1210,,LB7451,1634,0,1234,,
1211,,Rusevna,1454,0,1233,,
1212,,JohhnKAROL,1773,0,1232,,
1213,,Relaxplease,1471,0,1232,,
1214,,ritankar,1656,0,1232,,
1215,,Abhimanyu1998,1669,0,1231,,
1216,,chickenbiryani,1769,0,1230,,
1217,,Donny_p83,1855,0,1227,,
1218,,Malahroma,1712,0,1220,,
1219,,elpheezygrey,1701,0,1220,,
1220,,denysbro80,1575,0,1219,,
1221,,aytos,1878,0,1219,,
1222,,Marllan-Joss,1770,0,1218,,
1223,,ZIMBA994,1551,0,1216,,
1224,,cpproekt,1215,0,,,
1225,,Huskygaze3,1865,0,1215,,
1226,,Ismael-Onoja,1735,0,1214,,
1227,,Irek1,1545,0,1213,,
1228,,Amit7778,1493,0,1212,,
1229,,Prakhar0406,1638,0,1207,,
1230,,Kiruxa32,1715,0,1204,,
1231,,Zugzwang_2010,1735,0,1203,,
1232,,sisbris,1584,0,1201,,
1233,,Samariddinuz,1253,0,1199,,
1234,,AKABLACKSUPERMAN,1753,0,1199,,
1235,,Plaban,1020,0,1199,,
1236,,eDo370,1400,0,1197,,
1237,,dzengo,1318,0,1197,,
1238,,nabilhassan,1351,0,1196,,
1239,,yabrail,1629,0,1196,,
1240,,unbeknownst,1680,0,1191,,
1241,,mohammad9882,1874,0,1189,,
1242,,hz20201,1666,0,1188,,
1243,,Mahidhami,1186,0,,,
1244,,Jowheezy,1659,0,1181,,
1245,,haythem1,1702,0,1179,,
1246,,Leotrim12,1829,0,1176,,
1247,,arifindia,1386,0,1176,,
1248,,VRSTARQUEEN,1227,0,1170,,
1249,,vacek992,1799,0,1168,,
1250,,nboqu,1659,0,1164,,
1251,,chessblack_king,1549,0,1162,,
1252,,DelBlaine,1648,0,1162,,
1253,,ochemaster,1203,0,1162,,
1254,,vengadesan20,1594,0,1160,,
1255,,Stano24,1807,0,1152,,
1256,,Rinex,1200,0,1147,,
1257,,DUKISSJ04,1046,0,1141,,
1258,,ChessPrankerz,1755,0,1140,,
1259,,cesarguedas,1661,0,1139,,
1260,,Elkotb1,1603,0,1139,,
1261,,aymen2019,1527,0,1139,,
1262,,Drunkenstein_lk,1260,0,1137,,
1263,,gesua88,1438,0,1134,,
1264,,marlongodala,1503,0,1131,,
1265,,iMbigparsa,1125,0,,,
1266,,Nurahmad8585,1630,0,1122,,
1267,,alibaba-s,1277,0,1121,,
1268,,sherlock_moscow,1679,0,1117,,
1269,,viv_dwi,1573,0,1117,,
1270,,Merz_es,1117,0,,,
1271,,FCkngPurple,598,0,1112,,
1272,,NACHO1960,1601,0,1111,,
1273,,eDuck,1320,0,1106,,
1274,,camachoulises756,1612,0,1105,,
1275,,Lovers1,1886,0,1103,,
1276,,MuminHamid,1628,0,1103,,
1277,,mosi15,1704,0,1102,,
1278,,may481,1638,0,1099,,
1279,,Tharvin11,741,0,1097,,
1280,,Maksat2022,1679,0,1096,,
1281,,Bhakta_petr,1785,0,1092,,
1282,,MmEli27,1855,0,1091,,
1283,,AlexMLTZEM,1587,0,1085,,
1284,,ChessPlayer2294,1509,0,1084,,
1285,,TheFischerKing961,1571,0,1083,,
1286,,Medsalim,1567,0,1083,,
1287,,lethabomkhambi,1752,0,1079,,
1288,,Iskatel,1598,0,1077,,
1289,,Swandle,1537,0,1074,,
1290,,earth_song,1596,0,1073,,
1291,,misterBorr,1640,0,1072,,
1292,,M0HAME6,1197,0,1070,,
1293,,Dilxush_Qushshoqov,1068,0,,,
1294,,Dwiantos0001,1642,0,1061,,
1295,,ebrahimahmadiyan,1611,0,1055,,
1296,,MorphyHot,1524,0,1054,,
1297,,Real_GG,1551,0,1054,,
1298,,Kumarban02,1516,0,1052,,
1299,,Reyansh_Agarwal,1256,0,1048,,
1300,,friedrich93,1836,0,1048,,
1301,,GiacomoGrossi,967,0,1046,,
1302,,Arwane,1410,0,1044,,
1303,,MokatilDev,1042,0,,,
1304,,omarblanco,1041,0,,,
1305,,bwift,1526,0,1039,,
1306,,migrant,1655,0,1035,,
1307,,abdelrhmam45,1519,0,1026,,
1308,,Whiskey_Pete,1501,0,1025,,
1309,,ehsan_mohammadi_j,1316,0,1023,,
1310,,A1b2C3-D,1235,0,1019,,
1311,,roger321123,1489,0,1013,,
1312,,Volk1983,1474,0,1012,,
1313,,BB2937,1627,0,1006,,
1314,,chamaragg,1082,0,1005,,
1315,,AbdullahAlim,1655,0,1004,,
1316,,Jer_Brand,1485,0,1003,,
1317,,zakes_sleuth,929,0,997,,
1318,,Javadko,1528,0,992,,
1319,,zourv,989,0,,,
1320,,UrbanLegend94,1337,0,982,,
1321,,Richstinkthard,1492,0,973,,
1322,,ash_d_knight,1466,0,966,,
1323,,emiliorodriguezlopez,961,0,965,,
1324,,AchmadJauhari,1484,0,960,,
1325,,Dwuszach,1423,0,952,,
1326,,Dannyclegan,1144,0,943,,
1327,,Sarajayam,1044,0,932,,
1328,,Muhtasin1280,1259,0,932,,
1329,,AlexGamr69,971,0,925,,
1330,,Seifollahfeizi,1608,0,913,,
1331,,Beginner021,1555,0,908,,
1332,,yvzkrt0637,1384,0,907,,
1333,,AC_2114,1366,0,883,,
1334,,Bap33,1325,0,882,,
1335,,SinKat,881,0,,,
1336,,chessfever1987,1469,0,880,,
1337,,Hasaaan080m,989,0,877,,
1338,,atharvg12345,1244,0,872,,
1339,,boyblunder,1320,0,854,,
1340,,shiivom_shah1513,1380,0,818,,
1341,,SuryaKanthaRao,1102,0,807,,
1342,,losers98,1165,0,804,,
1343,,BestYahya,784,0,,,
1344,,Alireza9307,789,0,763,,
1345,,uvaprel,936,0,747,,
1346,,aows_2014,1185,0,738,,
1347,,qrossied,932,0,715,,
1348,,Imprrezza,793,0,698,,
1349,,Mikele79,1114,0,695,,
1350,,iTerr005,656,0,673,,
1351,,Austieene,670,0,,,
1352,,meysad,635,0,,,
1353,,Slasherzoo,1019,0,613,,
1354,,Jorkkix,1447,0,610,,
1355,,ZPdouglass,1040,0,570,,
